time="2025-03-06T16:05:58+01:00" level=info msg="Firewall rule added" firewallRule="map[caName: caSha: direction:outgoing endPort:0 groups:[] host:any ip: proto:0 startPort:0]"
time="2025-03-06T16:05:58+01:00" level=info msg="Firewall rule added" firewallRule="map[caName: caSha: direction:incoming endPort:0 groups:[] host:any ip: proto:0 startPort:0]"
time="2025-03-06T16:05:58+01:00" level=info msg="Firewall started" firewallHash=21716b47a7a140e448077fe66c31b4b42f232e996818d7dd1c6c4991e066dbdb
time="2025-03-06T16:05:58+01:00" level=info msg="Main HostMap created" network=192.168.80.3/24 preferredRanges="[]"
time="2025-03-06T16:05:58+01:00" level=info msg="UDP hole punching enabled"
time="2025-03-06T16:05:58+01:00" level=info msg="Loaded send_recv_error config" sendRecvError=always
time="2025-03-06T16:05:58+01:00" level=info msg="Nebula interface is active" build=1.6.1 interface=nebula network=192.168.80.3/24 udpAddr="0.0.0.0:4242"
time="2025-03-06T16:05:58+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=2468789175 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:05:58+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=2468789175 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:05:59+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=2468789175 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:05:59+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=2468789175 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:06:00+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=2468789175 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:06:01+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=2468789175 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:06:02+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=2468789175 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:06:03+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=2468789175 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:06:05+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=2468789175 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:06:06+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=2468789175 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
